Language,Name,Profession,Gender,Age,Elimination Date,Elimination Week Number,Contestant Number,Wild Card,Host Name,Broadcasted By,OTT Platform,Average TRP,Most Viewed States,House Location,OTT Season,Number of Evictions Faced,Number of Times Elected as Captain,Number of Re-entries,Walked,Ejected,In Secret-Room,Won Eviction Free Pass,Won Ticket to Finale,Secret Task,Social Media Popularity,Finalist,Winner
Malayalam,Hima Shankar_598,Actress,Female,Middle,,11.0,5.0,No,Mohanlal,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,4,0.0,1.0,0.0,0.0,,,,,,0.0,0
Telugu,Lahari Shari_922,Actress,Female,Young,26-Sep-21,3.0,3.0,No,Nagarjuna,Star Maa,Disney+ Hotstar,18.2,"Telangana, Andhra Pradesh",Hyderabad,No,1,0.0,0.0,0.0,0.0,,,,,,0.0,0
Kannada,Lawyer Jagadish_780,Lawyer,Male,Middle,,3.0,6.0,No,Sudeep,Colors Kannada,JioCinema,,Karnataka,Bengaluru,No,3,,,,1.0,,,,,,0.0,0
Hindi,Shalin Bhanot_78,Soap Actor,Male,Middle,,19.0,8.0,No,Salman Khan,Colors,Voot,,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Mumbai,No,10,0.0,0.0,0.0,0.0,,,,,7.0,1.0,0
Tamil,GP Muthu_855,Social Media Star,Male,Middle,,2.0,1.0,No,Kamal Haasan,Star Vijay,Disney+ Hotstar,15.3,Tamil Nadu,Chennai,No,0,1.0,0.0,1.0,0.0,,,,,,0.0,0
Tamil,Aajeedh Khalique_181,Singer,Male,Young,,13.0,16.0,No,Kamal Haasan,Star Vijay,Disney+ Hotstar,16.6,Tamil Nadu,Chennai,No,7,1.0,0.0,0.0,0.0,,1.0,,,,0.0,0
Hindi,Hrishant Goswami_291,Model,Male,Young,,8.0,,No,Salman Khan,Colors,,4.95,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,3,1.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Vikas Gupta_214,Producer,Male,Young,,15.0,16.0,No,Salman Khan,Colors,,7.64,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,6,2.0,0.0,0.0,0.0,,,,Success,6.0,1.0,0
Tamil,Sunita Gogoi_43,Actress,Female,Middle,,5.0,7.0,No,Vijay Sethupathi,Star Vijay,Disney+ Hotstar,9.75,Tamil Nadu,Chennai,No,1,,,,,,,,,,0.0,0
Hindi,Rupali Ganguly_471,Soap Actress,Female,Young,,9.0,6.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
Tamil,Raveena Daha_776,Actress,Female,Middle,,13.0,3.0,No,Kamal Haasan,Star Vijay,Disney+ Hotstar,9.3,Tamil Nadu,Chennai,No,5,,,,,,,,,,0.0,0
Telugu,Tasty Teja_17,Comedian,Male,Young,5-Nov-23,9.0,9.0,No,Nagarjuna,Star Maa,Disney+ Hotstar,19.9,"Telangana, Andhra Pradesh",Hyderabad,No,8,,,,,,,,,,0.0,0
Hindi,Kishwer Merchant_538,Soap Actress,Female,Middle,,,3.0,No,Salman Khan,Colors,,2.9,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,0,2.0,0.0,1.0,0.0,,,,,,0.0,0
Kannada,Naveen Sajju_825,Singer,Male,Young,,14.0,,No,Sudeep,Colors Super,Voot,,Karnataka,Bengaluru,No,4,2.0,0.0,0.0,0.0,,,,,7.0,1.0,0
Marathi,Meenal Shah_672,Reality Show Alumni,Female,Young,,14.0,13.0,No,Mahesh Manjrekar,Colors Marathi,Voot,,Maharashtra,Mumbai,No,9,1.0,0.0,0.0,0.0,,,,,,1.0,0
Hindi,Pritam Singh_76,Radio Jockey,Male,Middle,,4.0,3.0,No,Farah Khan,Colors,,2.82,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,3,1.0,0.0,1.0,0.0,,1.0,,,,1.0,0
Hindi,Millind Gaba_687,Singer,Male,Middle,,4.0,3.0,No,Karan Johar,,Voot,,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Mumbai,Yes,3,0.0,0.0,0.0,0.0,,,,,,0.0,0
